;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10
Aesthetic;0;0;0;0;0;0;0;0;0;0
Challenge;0;0;0;0;0;0;0;0;0;0
Narrative;0;0;0;0;0;0;0;0;0;0
Objectives;0;0;0;0;0;0;0;0;0;0
Social;0;0;0;0;0;0;0;0;0;0
Action Awareness;1;1;1;1;1;0;0;0;0;0
Clear Goals;1;1;1;1;1;0;0;0;0;0
Unambiguous Feedback;1;1;1;1;1;0;0;0;0;0
Autotelic Experience;1;1;1;1;1;0;0;0;0;0
Engagement;1;1;1;1;1;0;0;0;0;0
